"id","id2","nazov","ico","region","pocetobyvatelov","ppz","urad","ulica","cislo","psc","posta","primator","starosta","prednosta","smerovecislo","telefon","fax","mobil","email","web","id3","zdroj","created","od","do","edited_by","lchange"
"1","00307726","Alekšince","00307726","Nitriansky","1667","1156","Obecný úrad","Alekšince","389/395","951 22","Alekšince",,"Radoslav Ťapušík",,"037","782 21 26","782 28 45","0905 520 730","obec@aleksince.sk","www.aleksince.sk","10","http://www.e-obce.sk/obecedit.html?id=10","1449143782","1449145120","0",NULL,"2015-12-03 13:18:40"
"2","00592099","Abovce","00592099","Gemer","609","1339","Obecný úrad","Abovce","99","980 44","Lenartovce",,"Irena Hanobiková",,"047","559 41 81, 559 41 11","559 41 81","0904 164 832","obec.abovce@centrum.sk","www.abovce.ou.sk","2","http://www.e-obce.sk/obecedit.html?id=2","1449143782","1449145161","0",NULL,"2015-12-03 13:19:21"
"3","00316555","Abramová","00316555","Horný Turiec","201","1400","Obecný úrad","Abramová","8","038 22","Slovenské Pravno",,"Milan Černák",,"043","496 21 42","496 21 42","0905 817 720","uobecny5@gaya.sk",,"6","http://www.e-obce.sk/obecedit.html?id=6","1449143782","1449145161","0",NULL,"2015-12-03 13:19:21"
"4","00315940","Ábelová","00315940","Novohrad","248","1275","Obecný úrad","Ábelová","95","985 13","Ábelová",,"Viliam Körösi",,"047","437 95 10",,"0917 871 289","korosi.abelova@zoznam.sk","www.abelova.sk","1","http://www.e-obce.sk/obecedit.html?id=1","1449143782","1449145161","0",NULL,"2015-12-03 13:19:21"
"5","00305855","Abrahám","00305855","Podunajsko","1061","1266","Obecný úrad","Abrahám","52","925 45","Abrahám",,"Ing. Igor Németh",,"031","785 72 20,41","785 72 20","0911 875 757","urad@abraham.sk","www.abraham.sk","3","http://www.e-obce.sk/obecedit.html?id=3","1449143782","1449145161","0",NULL,"2015-12-03 13:19:21"
"6","00690619","Abranovce","00690619","Šarišský","609","1320","Obecný úrad",,"25","082 52","Kokošovce",,"František Štofko",,"051","779 83 34",,"0902 239 331","obecabranovce@zoznam.sk","www.abranovce.sk","7","http://www.e-obce.sk/obecedit.html?id=7","1449143782","1449145161","0",NULL,"2015-12-03 13:19:21"
"7","00311405","Adamovské Kochanovce","00311405","Mikroregión bielokarpatsko-tre...","838","1332","Obecný úrad","Adamovské Kochanovce","268","913 05","Melčice-Lieskové",,"Ing. Michal Križan",,"032","649 03 25","649 03 25","0902 909 670","obec@adamovskekochanovce.sk;starosta@adamovskekochanovce.sk","www.adamovskekochanovce.sk","8","http://www.e-obce.sk/obecedit.html?id=8","1449143782","1449145161","0",NULL,"2015-12-03 13:19:21"
"8","00322792","Adidovce","00322792","Prešovský","220","1568","Obecný úrad",,,"067 32","Vyšný Hrušov",,"Milan Koromház",,"057","779 63 33",,"0918 619 414","obec.adidovce@gmail.com","www.adidovce.ocu.sk","9","http://www.e-obce.sk/obecedit.html?id=9","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"9","00326101","Abrahámovce","00326101","Levočské Vrchy západ","248","1286","Obecný úrad",,"56","059 72","Vrbov",,"Mgr. Miloš Pitko",,"052","459 04 34",,"0907 958 082,0915 939 576","abrahamovce@aminet.sk","www.abrahamovce.ocu.sk;www.abrahamovce.sk","5","http://www.e-obce.sk/obecedit.html?id=5","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
"10","00321826","Abrahámovce","00321826","Horný Šariš","364","1427","Obecný úrad",,"26","086 41","Raslavice",,"MVDr. Ján Novotný",,"054","479 22 25",,"0904 936 840",,,"4","http://www.e-obce.sk/obecedit.html?id=4","1449143783","1449145161","0",NULL,"2015-12-03 13:19:21"
